year,state,medInc
2001,Minnesota,52681
2001,Mississippi,30161
2001,Missouri,41339
2001,Montana,32126
2001,Nebraska,43611
2001,Nevada,45403
2001,New Hampshire,51331
2001,New Jersey,51771
2001,New Mexico,33124
2001,New York,42114
2001,North Carolina,38162
2001,North Dakota,35793
2001,Ohio,41785
2001,Oklahoma,35609
2001,Oregon,41273
2001,Pennsylvania,43499
2001,Rhode Island,45723
2001,South Carolina,37736
2001,South Dakota,39671
2001,Tennessee,35783
2001,Texas,40860
2001,Utah,47342
2001,Vermont,40794
2001,Virginia,50241
2001,Washington,42490
2001,West Virginia,29673
2001,Wisconsin,45346
2001,Wyoming,39719
2001,Totals,42228
2000,Alabama,35424
2000,Alaska,52847
2000,Arizona,39783
2000,Arkansas,29697
2000,California,46816
2000,Colorado,48240
2000,Connecticut,50172
2000,Delaware,50365
2000,Dist. of Col.,41222
2000,Florida,38856
2000,Georgia,41901
2000,Hawaii,51546
2000,Idaho,37611
2000,Illinois,46064
2000,Indiana,40865
2000,Iowa,40991
2000,Kansas,41059
2000,Kentucky,36265
2000,Louisiana,30718
2000,Maine,37266
2000,Maryland,54535
2000,Massachusetts,46753
2000,Michigan,45512
2000,Minnesota,54251
2000,Mississippi,34299
2000,Missouri,45097
2000,Montana,32777
2000,Nebraska,41750
2000,Nevada,45758
2000,New Hampshire,50926
2000,New Jersey,50405
2000,New Mexico,35093
2000,New York,40744
2000,North Carolina,38317
2000,North Dakota,35996
2000,Ohio,42962
2000,Oklahoma,32432
2000,Oregon,42499
2000,Pennsylvania,42176
2000,Rhode Island,42197
2000,South Carolina,37570
2000,South Dakota,36475
2000,Tennessee,34096
2000,Texas,38609
2000,Utah,47550
2000,Vermont,39594
2000,Virginia,47163
2000,Washington,42525
2000,West Virginia,29411
2000,Wisconsin,45088
2000,Wyoming,39629
2000,Totals,41990
1999,Alabama,36251
1999,Alaska,51396
1999,Arizona,36995
1999,Arkansas,29682
1999,California,43629
1999,Colorado,48177
1999,Connecticut,50593
1999,Delaware,46628
1999,Dist. of Col.,38670
1999,Florida,35831
1999,Georgia,39425
1999,Hawaii,44504
1999,Idaho,35800
1999,Illinois,46330
1999,Indiana,40838
1999,Iowa,41098
1999,Kansas,37348
1999,Kentucky,33738
1999,Louisiana,32654
1999,Maine,38862
1999,Maryland,52205
1999,Massachusetts,44005
1999,Michigan,46089
1999,Minnesota,47038
1999,Mississippi,32478
1999,Missouri,41383
1999,Montana,31038
1999,Nebraska,38626
1999,Nevada,41461
1999,New Hampshire,46055
1999,New Jersey,49734
1999,New Mexico,32574
1999,New York,39989
1999,North Carolina,37254
1999,North Dakota,32663
1999,Ohio,39489
1999,Oklahoma,32683
1999,Oregon,40619
1999,Pennsylvania,37758
1999,Rhode Island,42719
1999,South Carolina,36462
1999,South Dakota,35828
1999,Tennessee,36522
1999,Texas,38688
1999,Utah,46050
1999,Vermont,41584
1999,Virginia,45693
1999,Washington,45473
1999,West Virginia,29297
1999,Wisconsin,45667
1999,Wyoming,37248
1999,Totals,40696
1998,Alabama,36266
1998,Alaska,50692
1998,Arizona,37090
1998,Arkansas,27665
1998,California,40934
1998,Colorado,46599
1998,Connecticut,46508
1998,Delaware,41458
1998,Dist. of Col.,33433
1998,Florida,34909
1998,Georgia,38665
1998,Hawaii,40827
1998,Idaho,36680
1998,Illinois,43178
1998,Indiana,39731
1998,Iowa,37019
1998,Kansas,36711
1998,Kentucky,36252
1998,Louisiana,31735
1998,Maine,35640
1998,Maryland,50016
1998,Massachusetts,42345
1998,Michigan,41821
1998,Minnesota,47926
1998,Mississippi,29120
1998,Missouri,40201
1998,Montana,31577
1998,Nebraska,36413
1998,Nevada,39756
1998,New Hampshire,44958
1998,New Jersey,49826
1998,New Mexico,31543
1998,New York,37394
1998,North Carolina,35838
1998,North Dakota,30304
1998,Ohio,38925
1998,Oklahoma,33727
1998,Oregon,39067
1998,Pennsylvania,39015
1998,Rhode Island,40686
1998,South Carolina,33267
1998,South Dakota,32786
1998,Tennessee,34091
1998,Texas,35783
1998,Utah,44299
1998,Vermont,39372
1998,Virginia,43354
1998,Washington,47421
1998,West Virginia,26704
1998,Wisconsin,41327
1998,Wyoming,35250
1998,Totals,38885
1997,Alabama,31939
1997,Alaska,47994
1997,Arizona,32740
1997,Arkansas,26162
1997,California,39694
1997,Colorado,43233
1997,Connecticut,43985
1997,Delaware,43033
1997,Dist. of Col.,31860
1997,Florida,32455
1997,Georgia,36663
1997,Hawaii,40934
1997,Idaho,33404
1997,Illinois,41283
1997,Indiana,38889
1997,Iowa,33783
1997,Kansas,36471
1997,Kentucky,33452
1997,Louisiana,33260
1997,Maine,32772
1997,Maryland,46685
1997,Massachusetts,42023
1997,Michigan,38742
1997,Minnesota,42564
1997,Mississippi,28499
1997,Missouri,36553
1997,Montana,29212
1997,Nebraska,34692
1997,Nevada,38854
1997,New Hampshire,40998
1997,New Jersey,48021
1997,New Mexico,30086
1997,New York,35798
1997,North Carolina,35840
1997,North Dakota,31661
1997,Ohio,36134
1997,Oklahoma,31351
1997,Oregon,37247
1997,Pennsylvania,37517
1997,Rhode Island,34797
1997,South Carolina,34262
1997,South Dakota,29694
1997,Tennessee,30636
1997,Texas,35075
1997,Utah,42775
1997,Vermont,35053
1997,Virginia,42957
1997,Washington,44562
1997,West Virginia,27488
1997,Wisconsin,39595
1997,Wyoming,33423
1997,Totals,37005
1996,Alabama,30302
1996,Alaska,52779
1996,Arizona,31637
1996,Arkansas,27123
1996,California,38812
1996,Colorado,40950
1996,Connecticut,42119
1996,Delaware,39309
1996,Dist. of Col.,31966
1996,Florida,30641
1996,Georgia,32496
1996,Hawaii,41772
1996,Idaho,34709
1996,Illinois,39554
1996,Indiana,35147
1996,Iowa,33209
1996,Kansas,32585
1996,Kentucky,32413
1996,Louisiana,30262
1996,Maine,34696
1996,Maryland,43993
1996,Massachusetts,39494
1996,Michigan,39225
1996,Minnesota,40991
1996,Mississippi,26677
1996,Missouri,34265
1996,Montana,28684
1996,Nebraska,34014
1996,Nevada,38540
1996,New Hampshire,39407
1996,New Jersey,47468
1996,New Mexico,25086
1996,New York,35410
1996,North Carolina,35601
1996,North Dakota,31470
1996,Ohio,34070
1996,Oklahoma,27437
1996,Oregon,35492
1996,Pennsylvania,34899
1996,Rhode Island,36986
1996,South Carolina,34665
1996,South Dakota,29526
1996,Tennessee,30790
1996,Texas,33072
1996,Utah,37038
1996,Vermont,32358
1996,Virginia,39211
1996,Washington,36676
1996,West Virginia,25247
1996,Wisconsin,40001
1996,Wyoming,30953
1996,Totals,35492
1995,Alabama,25991
1995,Alaska,47954
1995,Arizona,30863
1995,Arkansas,25814
1995,California,37009
1995,Colorado,40706
1995,Connecticut,40243
1995,Delaware,34928
1995,Dist. of Col.,30748
1995,Florida,29745
1995,Georgia,34099
1995,Hawaii,42851
1995,Idaho,32676
1995,Illinois,38071
1995,Indiana,33385
1995,Iowa,35519
1995,Kansas,30341
1995,Kentucky,29810
1995,Louisiana,27949
1995,Maine,33858
1995,Maryland,41041
1995,Massachusetts,38574
1995,Michigan,36426
1995,Minnesota,37933
1995,Mississippi,26538
1995,Missouri,34825
1995,Montana,27757
1995,Nebraska,32929
1995,Nevada,36084
1995,New Hampshire,39171
1995,New Jersey,43924
1995,New Mexico,25991
1995,New York,33028
1995,North Carolina,31979
1995,North Dakota,29089
1995,Ohio,34941
1995,Oklahoma,26311
1995,Oregon,36374
1995,Pennsylvania,34524
1995,Rhode Island,35359
1995,South Carolina,29071
1995,South Dakota,29578
1995,Tennessee,29015
1995,Texas,32039
1995,Utah,36480
1995,Vermont,33824
1995,Virginia,36222
1995,Washington,35568
1995,West Virginia,24880
1995,Wisconsin,40955
1995,Wyoming,31529
1995,Totals,34076
1994,Alabama,27196
1994,Alaska,45367
1994,Arizona,31293
1994,Arkansas,25565
1994,California,35331
1994,Colorado,37833
1994,Connecticut,41097
1994,Delaware,35873
1994,Dist. of Col.,30116
1994,Florida,29294
1994,Georgia,31467
1994,Hawaii,42255
1994,Idaho,31536
1994,Illinois,35081
1994,Indiana,27858
1994,Iowa,33079
1994,Kansas,28322
1994,Kentucky,26595
1994,Louisiana,25676
1994,Maine,30316
1994,Maryland,39198
1994,Massachusetts,40500
1994,Michigan,35284
1994,Minnesota,33644
1994,Mississippi,25400
1994,Missouri,30190
1994,Montana,27631
1994,Nebraska,31794
1994,Nevada,35871
1994,New Hampshire,35245
1994,New Jersey,42280
1994,New Mexico,26905
1994,New York,31899
1994,North Carolina,30114
1994,North Dakota,28278
1994,Ohio,31855
1994,Oklahoma,26991
1994,Oregon,31456
1994,Pennsylvania,32066
1994,Rhode Island,31928
1994,South Carolina,29846
1994,South Dakota,29733
1994,Tennessee,28639
1994,Texas,30755
1994,Utah,35716
1994,Vermont,35802
1994,Virginia,37647
1994,Washington,33533
1994,West Virginia,23564
1994,Wisconsin,35388
1994,Wyoming,33140
1994,Totals,32264
1993,Alabama,25082
1993,Alaska,42931
1993,Arizona,30510
1993,Arkansas,23039
1993,California,34073
1993,Colorado,34488
1993,Connecticut,39516
1993,Delaware,36064
1993,Dist. of Col.,27304
1993,Florida,28550
1993,Georgia,31663
1993,Hawaii,42662
1993,Idaho,31010
1993,Illinois,32857
1993,Indiana,29475
1993,Iowa,28663
1993,Kansas,29770
1993,Kentucky,24376
1993,Louisiana,26312
1993,Maine,27438
1993,Maryland,39939
1993,Massachusetts,37064
1993,Michigan,32662
1993,Minnesota,33682
1993,Mississippi,22191
1993,Missouri,28682
1993,Montana,26470
1993,Nebraska,31008
1993,Nevada,35814
1993,New Hampshire,37964
1993,New Jersey,40500
1993,New Mexico,26758
1993,New York,31697
1993,North Carolina,28820
1993,North Dakota,28118
1993,Ohio,31285
1993,Oklahoma,26260
1993,Oregon,33138
1993,Pennsylvania,30995
1993,Rhode Island,33509
1993,South Carolina,26053
1993,South Dakota,27737
1993,Tennessee,25102
1993,Texas,28727
1993,Utah,35786
1993,Vermont,31065
1993,Virginia,36433
1993,Washington,35655
1993,West Virginia,22421
1993,Wisconsin,31766
1993,Wyoming,29442
1993,Totals,31241
1992,Alabama,25808
1992,Alaska,41802
1992,Arizona,29358
1992,Arkansas,23882
1992,California,34903
1992,Colorado,32484
1992,Connecticut,40841
1992,Delaware,35678
1992,Dist. of Col.,30247
1992,Florida,27349
1992,Georgia,28797
1992,Hawaii,42113
1992,Idaho,27704
1992,Illinois,31551
1992,Indiana,28530
1992,Iowa,28743
1992,Kansas,30346
1992,Kentucky,23485
1992,Louisiana,25439
1992,Maine,29617
1992,Maryland,37203
1992,Massachusetts,36359
1992,Michigan,32267
1992,Minnesota,30981
1992,Mississippi,20570
1992,Missouri,27361
1992,Montana,26525
1992,Nebraska,30048
1992,Nevada,31908
1992,New Hampshire,39436
1992,New Jersey,39000
1992,New Mexico,25860
1992,New York,31051
1992,North Carolina,27771
1992,North Dakota,26959
1992,Ohio,31404
1992,Oklahoma,25284
1992,Oregon,31927
1992,Pennsylvania,29882
1992,Rhode Island,30432
1992,South Carolina,27578
1992,South Dakota,26259
1992,Tennessee,24318
1992,Texas,27953
1992,Utah,34251
1992,Vermont,32755
1992,Virginia,38198
1992,Washington,33900
1992,West Virginia,20271
1992,Wisconsin,33308
1992,Wyoming,30209
1992,Totals,30636
1991,Alabama,24346
1991,Alaska,40612
1991,Arizona,30737
1991,Arkansas,23435
1991,California,33664
1991,Colorado,31499
1991,Connecticut,42154
1991,Delaware,32585
1991,Dist. of Col.,29885
1991,Florida,27252
1991,Georgia,27212
1991,Hawaii,37246
1991,Idaho,26116
1991,Illinois,31884
1991,Indiana,27089
1991,Iowa,28553
1991,Kansas,29295
1991,Kentucky,23764
1991,Louisiana,25299
1991,Maine,27868
1991,Maryland,36952
1991,Massachusetts,35714
1991,Michigan,32117
1991,Minnesota,29479
1991,Mississippi,19475
1991,Missouri,27926
1991,Montana,24827
1991,Nebraska,29549
1991,Nevada,32937
1991,New Hampshire,36032
1991,New Jersey,40049
1991,New Mexico,26540
1991,New York,31794
1991,North Carolina,26853
1991,North Dakota,25892
1991,Ohio,29790
1991,Oklahoma,25462
1991,Oregon,30190
1991,Pennsylvania,30367
1991,Rhode Island,30836
1991,South Carolina,27463
1991,South Dakota,24639
1991,Tennessee,24453
1991,Texas,27733
1991,Utah,28016
1991,Vermont,29155
1991,Virginia,36137
1991,Washington,33970
1991,West Virginia,23147
1991,Wisconsin,31133
1991,Wyoming,29050
1991,Totals,30126
1990,Alabama,23357
1990,Alaska,39298
1990,Arizona,29224
1990,Arkansas,22786
1990,California,33290
1990,Colorado,30733
1990,Connecticut,38870
1990,Delaware,30804
1990,Dist. of Col.,27392
1990,Florida,26685
1990,Georgia,27561
1990,Hawaii,38921
1990,Idaho,25305
1990,Illinois,32542
1990,Indiana,26928
1990,Iowa,27288
1990,Kansas,29917
1990,Kentucky,24780
1990,Louisiana,22405
1990,Maine,27464
1990,Maryland,38857
1990,Massachusetts,36247
1990,Michigan,29937
1990,Minnesota,31465
1990,Mississippi,20178
1990,Missouri,27332
1990,Montana,23375
1990,Nebraska,27482
1990,Nevada,32023
1990,New Hampshire,40805
1990,New Jersey,38734
1990,New Mexico,25039
1990,New York,31591
1990,North Carolina,26329
1990,North Dakota,25264
1990,Ohio,30013
1990,Oklahoma,24384
1990,Oregon,29281
1990,Pennsylvania,29005
1990,Rhode Island,31968
1990,South Carolina,28735
1990,South Dakota,24571
1990,Tennessee,22592
1990,Texas,28228
1990,Utah,30142
1990,Vermont,31098
1990,Virginia,35073
1990,Washington,32112
1990,West Virginia,22137
1990,Wisconsin,30711
1990,Wyoming,29460
1990,Totals,29943
1989,Alabama,21284
1989,Alaska,36006
1989,Arizona,28552
1989,Arkansas,21433
1989,California,33009
1989,Colorado,26806
1989,Connecticut,42321
1989,Delaware,32068
1989,Dist. of Col.,26752
1989,Florida,26085
1989,Georgia,27542
1989,Hawaii,35035
1989,Idaho,24654
1989,Illinois,31300
1989,Indiana,25898
1989,Iowa,26265
1989,Kansas,26862
1989,Kentucky,23283
1989,Louisiana,22861
1989,Maine,28221
1989,Maryland,36016
1989,Massachusetts,36086
1989,Michigan,30775
1989,Minnesota,30185
1989,Mississippi,19917
1989,Missouri,26497
1989,Montana,23692
1989,Nebraska,26319
1989,Nevada,29340
1989,New Hampshire,37532
1989,New Jersey,39120
1989,New Mexico,22602
1989,New York,31496
